Timepoint,Sample,Colony,Survivorship,Polyps,Treatment,Richness.Type
End,JA-23-1,801-47,0,NA,High,Single
Initial,JA-23-2,801-47,1,3,High,Single
S1D3,JA-23-2,801-47,1,4,High,Single
S2R1,JA-23-2,801-47,1,4,High,Single
S2D2,JA-23-2,801-47,1,4,High,Single
S2D8,JA-23-2,801-47,1,3,High,Single
S2D11,JA-23-2,801-47,0,NA,High,Single
End,JA-23-2,801-47,0,NA,High,Single
Initial,JA-23-3,801-47,1,2,High,Single
S1D3,JA-23-3,801-47,1,3,High,Single
S2R1,JA-23-3,801-47,1,2,High,Single
S2D2,JA-23-3,801-47,1,2,High,Single
S2D8,JA-23-3,801-47,0,NA,High,Single
S2D11,JA-23-3,801-47,0,NA,High,Single
End,JA-23-3,801-47,0,NA,High,Single
Initial,JA-24-2,801-47,1,4,High,Single
S1D3,JA-24-2,801-47,1,5,High,Single
S2R1,JA-24-2,801-47,1,5,High,Single
S2D2,JA-24-2,801-47,1,5,High,Single
S2D8,JA-24-2,801-47,1,5,High,Single
S2D11,JA-24-2,801-47,0,NA,High,Single
End,JA-24-2,801-47,0,NA,High,Single
Initial,JA-24-3,801-47,1,5,High,Single
S1D3,JA-24-3,801-47,1,5,High,Single
S2R1,JA-24-3,801-47,1,5,High,Single
S2D2,JA-24-3,801-47,1,2,High,Single
S2D8,JA-24-3,801-47,1,4,High,Single
S2D11,JA-24-3,801-47,0,NA,High,Single
End,JA-24-3,801-47,0,NA,High,Single
Initial,JA-24-4,801-47,1,6,High,Single
S1D3,JA-24-4,801-47,1,6,High,Single
S2R1,JA-24-4,801-47,1,6,High,Single
S2D2,JA-24-4,801-47,1,3,High,Single
S2D8,JA-24-4,801-47,1,4,High,Single
S2D11,JA-24-4,801-47,0,NA,High,Single
End,JA-24-4,801-47,0,NA,High,Single
Initial,JA-26-1,742-F,1,3,High,Single
S1D3,JA-26-1,742-F,1,3,High,Single
S2R1,JA-26-1,742-F,1,3,High,Single
S2D2,JA-26-1,742-F,1,4,High,Single
S2D8,JA-26-1,742-F,1,3,High,Single
S2D11,JA-26-1,742-F,0,NA,High,Single
End,JA-26-1,742-F,0,NA,High,Single
Initial,JA-27-1,742-F,1,3,Ambient,Single
S1D3,JA-27-1,742-F,1,3,Ambient,Single
S2R1,JA-27-1,742-F,1,3,Ambient,Single
S2D2,JA-27-1,742-F,1,3,Ambient,Single
S2D8,JA-27-1,742-F,1,3,Ambient,Single
S2D11,JA-27-1,742-F,1,3,Ambient,Single
End,JA-27-1,742-F,1,4,Ambient,Single
Initial,JA-27-2,742-F,1,5,Ambient,Single
S1D3,JA-27-2,742-F,1,5,Ambient,Single
S2R1,JA-27-2,742-F,1,5,Ambient,Single
S2D2,JA-27-2,742-F,1,5,Ambient,Single
S2D8,JA-27-2,742-F,1,6,Ambient,Single
S2D11,JA-27-2,742-F,1,5,Ambient,Single
End,JA-27-2,742-F,1,7,Ambient,Single
Initial,JA-28-1,742-F,1,2,Ambient,Single
S1D3,JA-28-1,742-F,1,4,Ambient,Single
S2R1,JA-28-1,742-F,1,4,Ambient,Single
S2D2,JA-28-1,742-F,1,4,Ambient,Single
S2D8,JA-28-1,742-F,1,5,Ambient,Single
S2D11,JA-28-1,742-F,0,NA,Ambient,Single
End,JA-28-1,742-F,0,NA,Ambient,Single
Initial,JA-28-2,742-F,1,2,Ambient,Single
S1D3,JA-28-2,742-F,1,4,Ambient,Single
S2R1,JA-28-2,742-F,1,4,Ambient,Single
S2D2,JA-28-2,742-F,1,4,Ambient,Single
S2D8,JA-28-2,742-F,1,5,Ambient,Single
S2D11,JA-28-2,742-F,1,5,Ambient,Single
End,JA-28-2,742-F,0,5,Ambient,Single
Initial,JA-28-3,742-F,1,2,Ambient,Single
S1D3,JA-28-3,742-F,1,2,Ambient,Single
S2R1,JA-28-3,742-F,1,2,Ambient,Single
S2D2,JA-28-3,742-F,1,2,Ambient,Single
S2D8,JA-28-3,742-F,1,2,Ambient,Single
S2D11,JA-28-3,742-F,1,3,Ambient,Single
End,JA-28-3,742-F,1,3,Ambient,Single
Initial,JA-29-1,742-F,1,3,Ambient,Single
S1D3,JA-29-1,742-F,1,3,Ambient,Single
S2R1,JA-29-1,742-F,1,3,Ambient,Single
S2D2,JA-29-1,742-F,1,3,Ambient,Single
S2D8,JA-29-1,742-F,1,3,Ambient,Single
S2D11,JA-29-1,742-F,1,4,Ambient,Single
End,JA-29-1,742-F,1,5,Ambient,Single
Initial,JA-29-2,742-F,1,3,Ambient,Single
S1D3,JA-29-2,742-F,1,4,Ambient,Single
S2R1,JA-29-2,742-F,1,4,Ambient,Single
S2D2,JA-29-2,742-F,1,4,Ambient,Single
S2D8,JA-29-2,742-F,1,4,Ambient,Single
S2D11,JA-29-2,742-F,1,5,Ambient,Single
End,JA-29-2,742-F,1,5,Ambient,Single
Initial,JA-29-3,742-F,1,3,Ambient,Single
S1D3,JA-29-3,742-F,1,3,Ambient,Single
S2R1,JA-29-3,742-F,1,3,Ambient,Single
S2D2,JA-29-3,742-F,1,3,Ambient,Single
S2D8,JA-29-3,742-F,1,5,Ambient,Single
S2D11,JA-29-3,742-F,1,5,Ambient,Single
End,JA-29-3,742-F,1,5,Ambient,Single
Initial,JA-58-1,806-42,1,2,High,Single
S1D3,JA-58-1,806-42,1,4,High,Single
S2R1,JA-58-1,806-42,1,3,High,Single
S2D2,JA-58-1,806-42,1,5,High,Single
S2D8,JA-58-1,806-42,1,4,High,Single
